resource_id,resource_type,resource_name,region,az,subnet_type,sg_inbound_rule,iam_policy_attached,encryption_at_rest,multi_az_enabled,backup_enabled,backup_retention_days,last_reviewed,config_status,compliance_flag,internal_code,notes
i-0a1b2c3d4e,EC2,rimzenberg-web-01,eu-west-2,eu-west-2a,PUBLIC,0.0.0.0/0:80+443+22,EC2-InstanceRole-Broad,NO,N/A,NO,N/A,2024-01-15,REVIEW_NEEDED,SG-ISSUE,"SG-HC-BLOCK","SG allows SSH from 0.0.0.0/0. Health check port 80 blocked in outbound rule — this is why ALB health checks fail intermittently. See INC-003 INC-006 INC-010."
i-0b2c3d4e5f,EC2,rimzenberg-web-02,eu-west-2,eu-west-2a,PUBLIC,0.0.0.0/0:80+443+22,EC2-InstanceRole-Broad,NO,N/A,NO,N/A,2024-01-15,REVIEW_NEEDED,SG-ISSUE,"SG-HC-BLOCK","Clone of web-01. Same SG misconfiguration."
db-0c3d4e5f6g,RDS,rimzenberg-rds-prod,eu-west-2,eu-west-2a,PUBLIC,0.0.0.0/0:3306,RDS-Admin-Broad,YES-AES256,NO,YES,7,2024-02-01,NON_COMPLIANT,PUBLIC-SUBNET-RDS,"PUB-RDS","RDS instance in PUBLIC subnet. Port 3306 open to 0.0.0.0/0. NCSC Principle 3 failure. UK GDPR breach risk — customer PII in this DB. Multi-AZ disabled. Max connections: 150 (regularly exceeded — see INC-002 INC-005 INC-009)."
s3-rimzenberg-static,S3,rimzenberg-static-assets,eu-west-2,N/A,N/A,N/A,S3-PublicReadPolicy,NO,N/A,NO,N/A,2024-01-15,REVIEW_NEEDED,ENCRYPTION-MISSING,"S3-ENC-OFF","Bucket policy allows public read (intended for CDN). No server-side encryption. No versioning. See INC-008 INC-014 INC-021 — policy keeps getting reset."
s3-rimzenberg-orders,S3,rimzenberg-order-receipts,eu-west-2,N/A,N/A,N/A,S3-FullAccess-Broad,NO,N/A,NO,N/A,2024-03-01,NON_COMPLIANT,ENCRYPTION-MISSING+IAM-BROAD,"S3-ENC-OFF","Order receipt storage. No SSE. Broad IAM — 6 engineers have s3:* on this bucket. UK GDPR Article 32 risk."
alb-0d4e5f6g7h,ALB,rimzenberg-alb-prod,eu-west-2,eu-west-2a,PUBLIC,0.0.0.0/0:80+443,ALB-DefaultRole,N/A,NO,N/A,N/A,2024-01-15,NON_COMPLIANT,SINGLE-AZ,"SINGLE-AZ-ALB","ALB deployed to single AZ only. No cross-zone load balancing. Falls over when eu-west-2a has issues."
igw-0e5f6g7h8i,IGW,rimzenberg-igw,eu-west-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-01-15,OK,NONE,,Standard internet gateway — no issues
vpc-0f6g7h8i9j,VPC,rimzenberg-vpc-prod,eu-west-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-01-15,REVIEW_NEEDED,FLAT-NETWORK,"FLAT-VPC","Single VPC with no subnet segmentation. All resources in public subnets. No private subnets. No NAT Gateway. Violates three-tier architecture best practice."
iam-role-broad-ec2,IAM Role,EC2-InstanceRole-Broad,eu-west-2,N/A,N/A,N/A,AdministratorAccess,N/A,N/A,N/A,N/A,2023-12-01,NON_COMPLIANT,OVER-PRIVILEGE,"IAM-ADMIN","EC2 instances running with AdministratorAccess. Any compromise of the web tier = full AWS account access. NCSC Principle 9 failure."
iam-role-broad-rds,IAM Role,RDS-Admin-Broad,eu-west-2,N/A,N/A,N/A,AdministratorAccess,N/A,N/A,N/A,N/A,2023-12-01,NON_COMPLIANT,OVER-PRIVILEGE,"IAM-ADMIN","RDS role also has AdministratorAccess. Not reviewed since initial migration."
iam-user-dev,IAM User,dev.okonkwo,eu-west-2,N/A,N/A,N/A,AdministratorAccess,N/A,N/A,N/A,N/A,2023-12-01,NON_COMPLIANT,OVER-PRIVILEGE+LEAVING,"IAM-ADMIN","Dev leaving end of sprint week 2. Access must be revoked. Console + programmatic access both active."
iam-user-farah,IAM User,farah.hussain,eu-west-2,N/A,N/A,N/A,PowerUserAccess,N/A,N/A,N/A,N/A,2024-06-01,REVIEW_NEEDED,OVER-PRIVILEGE,,Ops access broader than needed.
iam-user-marcus,IAM User,marcus.webb,eu-west-2,N/A,N/A,N/A,ReadOnlyAccess,N/A,N/A,N/A,N/A,2024-06-01,OK,NONE,,DPO read-only — appropriate.
cloudtrail-prod,CloudTrail,rimzenberg-trail,eu-west-2,N/A,N/A,N/A,N/A,NO,N/A,YES,90,2024-01-15,NON_COMPLIANT,ENCRYPTION-MISSING,"CT-ENC-OFF","CloudTrail active but logs not encrypted. S3 bucket for logs has no SSE. ISO 27001 Annex A.12.4 failure."
asg-missing,ASG,N/A,eu-west-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MISSING,NO-ASG,"NO-ASG","No Auto Scaling Group configured. Traffic spikes hit fixed-capacity instances. Root cause of TRAFFIC_SPIKE incidents."
route53-prod,Route53,rimzenberg.co.uk,eu-west-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-01-15,REVIEW_NEEDED,NO-HEALTH-CHECK,"R53-NO-HC","Route53 has no health checks configured. DNS failover not possible. Compound failure factor in INC-024."
cloudwatch-missing,CloudWatch,N/A,eu-west-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MISSING,NO-MONITORING,"NO-CW","No CloudWatch dashboards or alarms configured. No alerting on CPU EC2 RDS connections or cost thresholds. Finance cannot explain spend growth."
backup-missing,AWS Backup,N/A,eu-west-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MISSING,NO-BACKUP,"NO-BKP","No AWS Backup plan configured beyond RDS 7-day automated snapshots. No cross-region backup. No tested restore."
